"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4390","purchaseShouldEndWithConfirmationText(String, String, String, String) [1] Laptops, Sony vaio i5, Andrzej, 123456","","Wed Apr 15 10:08:05 UTC 2026","passed","Wed Apr 15 10:08:09 UTC 2026","","DemoBlaze.PurchaseTests","DemoBlaze.PurchaseTests","purchaseShouldEndWithConfirmationText"
"","1027","Standard user should be able to login and see inventory page","","Wed Apr 15 10:07:59 UTC 2026","passed","Wed Apr 15 10:08:00 UTC 2026","","Saucedemo.LoginTest","Saucedemo.LoginTest","standardUserLoginTest"
"","1277","checkSortingTest()","","Wed Apr 15 10:08:00 UTC 2026","passed","Wed Apr 15 10:08:01 UTC 2026","","Saucedemo.SortingTest","Saucedemo.SortingTest","checkSortingTest"
"","734","Should show coffee description on hover","","Wed Apr 15 10:08:27 UTC 2026","passed","Wed Apr 15 10:08:27 UTC 2026","","CoffeeCart.HoverTests","CoffeeCart.HoverTests","shouldShowDescriptionOnHover"
"","4190","purchaseShouldEndWithConfirmationText(String, String, String, String) [2] Laptops, MacBook air, Marek, 987654","","Wed Apr 15 10:08:09 UTC 2026","passed","Wed Apr 15 10:08:14 UTC 2026","","DemoBlaze.PurchaseTests","DemoBlaze.PurchaseTests","purchaseShouldEndWithConfirmationText"
"","1638","completePurchaseTest()","","Wed Apr 15 10:07:56 UTC 2026","passed","Wed Apr 15 10:07:58 UTC 2026","","Saucedemo.CheckoutTests","Saucedemo.CheckoutTests","completePurchaseTest"
"","1371","CheckAddingProductsToCart()","","Wed Apr 15 10:07:55 UTC 2026","passed","Wed Apr 15 10:07:56 UTC 2026","","Saucedemo.CartTests","Saucedemo.CartTests","CheckAddingProductsToCart"
"","1491","Negative: Checkout with empty cart","","Wed Apr 15 10:08:25 UTC 2026","passed","Wed Apr 15 10:08:26 UTC 2026","","CoffeeCart.EmptyCartTests","CoffeeCart.EmptyCartTests","shouldBeAbleToProceedWithEmptyCart"
"","780","CheckSuccessfulCheckout()","","Wed Apr 15 10:08:24 UTC 2026","broken","Wed Apr 15 10:08:25 UTC 2026","","CoffeeCart.CheckoutTests","CoffeeCart.CheckoutTests","CheckSuccessfulCheckout"
"","2443","chosenProductShouldBeTheMostExpensive()","","Wed Apr 15 10:08:01 UTC 2026","passed","Wed Apr 15 10:08:03 UTC 2026","","DemoBlaze.MainPageTests","DemoBlaze.MainPageTests","chosenProductShouldBeTheMostExpensive"
"","5910","removingProductShouldUpdateThePrice()","","Wed Apr 15 10:08:18 UTC 2026","passed","Wed Apr 15 10:08:24 UTC 2026","","DemoBlaze.PurchaseTests","DemoBlaze.PurchaseTests","removingProductShouldUpdateThePrice"
"","4321","purchaseShouldEndWithConfirmationText(String, String, String, String) [3] Phones, Samsung galaxy s6, Jan, 111222","","Wed Apr 15 10:08:14 UTC 2026","passed","Wed Apr 15 10:08:18 UTC 2026","","DemoBlaze.PurchaseTests","DemoBlaze.PurchaseTests","purchaseShouldEndWithConfirmationText"
"","1605","sendingContactMessageShouldFinishWithConfirmation()","","Wed Apr 15 10:08:03 UTC 2026","passed","Wed Apr 15 10:08:05 UTC 2026","","DemoBlaze.ContactTests","DemoBlaze.ContactTests","sendingContactMessageShouldFinishWithConfirmation"
"","1061","CheckSwitchingBetweenBrowserCarts()","","Wed Apr 15 10:07:53 UTC 2026","passed","Wed Apr 15 10:07:55 UTC 2026","","TheInternet.MultipleWindowsTests","TheInternet.MultipleWindowsTests","CheckSwitchingBetweenBrowserCarts"
"","6866","checkFramesSwitchingTest()","","Wed Apr 15 10:07:45 UTC 2026","passed","Wed Apr 15 10:07:52 UTC 2026","","TheInternet.NestedFramesTests","TheInternet.NestedFramesTests","checkFramesSwitchingTest"
"","1015","Locked out user should see error message","","Wed Apr 15 10:07:58 UTC 2026","passed","Wed Apr 15 10:07:59 UTC 2026","","Saucedemo.LoginTest","Saucedemo.LoginTest","lockedOutUserTest"
"","868","CheckGettingExtraCupOfCoffee()","","Wed Apr 15 10:08:27 UTC 2026","passed","Wed Apr 15 10:08:28 UTC 2026","","CoffeeCart.PromoHunterTests","CoffeeCart.PromoHunterTests","CheckGettingExtraCupOfCoffee"
"","652","Check if cart is empty on start","","Wed Apr 15 10:08:26 UTC 2026","passed","Wed Apr 15 10:08:27 UTC 2026","","CoffeeCart.EmptyCartTests","CoffeeCart.EmptyCartTests","cartShouldBeEmptyOnStart"
"","1169","checkSwitchingSquares()","","Wed Apr 15 10:07:52 UTC 2026","passed","Wed Apr 15 10:07:53 UTC 2026","","TheInternet.DragAndDropTests","TheInternet.DragAndDropTests","checkSwitchingSquares"
